subject,session,n_trials,pct_optimal,pct_drift,mean_cumulative_drift,max_cumulative_drift,n_alerts,error_risk,mean_efficiency,std_efficiency
sub-06,ses-S3,1146,85.42757417102966,5.322862129144852,5.322862129144852,38.333333333333336,0,42.1,66.03660899622372,16.96231209700847
sub-07,ses-S1,476,69.74789915966386,8.193277310924369,8.19327731092437,56.666666666666664,1,37.8,66.78430968376146,17.58048675167924
sub-07,ses-S2,1586,91.80327868852459,1.5762925598991173,1.5762925598991173,18.333333333333332,0,42.3,69.24262598332685,18.07599496389787
sub-07,ses-S3,1165,90.21459227467811,0.6866952789699571,0.6866952789699571,6.666666666666667,0,36.7,69.30035957324729,17.80448332531521
sub-08,ses-S1,831,55.234657039711195,32.12996389891697,29.251905334937824,100.0,9,46.1,58.88318450876266,15.401232270735003
sub-08,ses-S2,675,57.629629629629626,26.666666666666668,26.666666666666668,85.0,8,45.0,60.96475250310659,14.677164985093059
sub-08,ses-S3,399,72.18045112781955,1.5037593984962405,1.5037593984962405,10.0,0,29.3,64.64490953198445,17.017603128434654
sub-09,ses-S1,1523,90.67629678266579,2.4294156270518714,2.4294156270518714,30.0,0,45.2,64.02819916879325,17.549029681322036
sub-09,ses-S2,1423,86.71820098383697,5.903021784961349,5.903021784961349,81.66666666666667,2,46.5,65.55744618979631,18.682948841194964
sub-09,ses-S3,814,84.76658476658477,2.211302211302211,2.211302211302211,25.0,0,38.4,66.97435423620662,17.4884858387162
sub-10,ses-S1,1119,80.16085790884719,10.36639857015192,9.8138218647602,100.0,4,38.1,66.5716346092486,16.83188579454261
sub-10,ses-S2,1929,87.6101607050285,6.946604458268533,6.946604458268533,100.0,3,38.9,67.72206984175189,16.929410935285073
sub-10,ses-S3,1909,85.8040859088528,8.695652173913043,8.577789418543743,93.33333333333333,5,40.9,68.00493990306462,17.46032895728312
sub-11,ses-S1,1424,83.84831460674157,8.77808988764045,8.103932584269662,68.33333333333333,1,47.4,66.22965300072806,18.16853070818393
sub-11,ses-S2,1021,69.44172380019589,20.274240940254654,19.681684622918706,100.0,7,43.6,65.03990098978716,16.683326898536198
sub-11,ses-S3,1854,74.16396979503776,20.17259978425027,20.12405609492988,100.0,13,50.9,65.8011028872884,17.99944622733507
sub-12,ses-S1,1285,70.42801556420234,21.245136186770427,21.245136186770427,76.66666666666667,6,45.5,62.937956253619994,16.903475387962146
sub-12,ses-S2,635,70.39370078740157,12.913385826771654,12.913385826771654,100.0,3,42.1,61.240860294703786,18.53194465777413
sub-12,ses-S3,1269,81.16627265563436,10.480693459416864,10.480693459416864,80.0,4,38.8,63.9428012274256,17.801335091685445
sub-13,ses-S1,502,74.7011952191235,4.382470119521912,4.382470119521912,36.666666666666664,0,31.4,62.42479336418015,15.59131112068218
sub-13,ses-S2,1692,31.914893617021278,61.87943262411348,61.87943262411348,100.0,37,66.5,47.45033762022401,19.531785270606946
sub-13,ses-S3,456,70.6140350877193,6.359649122807017,3.9290935672514626,25.0,0,39.9,67.29912014633902,18.264651531111824
sub-14,ses-S1,1457,71.10501029512697,21.61976664378861,21.61976664378861,100.0,12,55.7,60.97984047794362,18.949428692978312
sub-14,ses-S2,1319,76.42153146322973,15.61789234268385,15.617892342683854,100.0,7,50.2,61.50694063333562,20.48200324834528
sub-14,ses-S3,1742,64.58094144661308,29.33409873708381,29.334098737083806,100.0,19,52.6,57.093066282635164,17.572385753329094
sub-15,ses-S1,1125,53.333333333333336,37.333333333333336,37.333333333333336,100.0,15,50.5,59.66800218429229,15.929374780956252
sub-15,ses-S2,1009,78.79088206144698,10.70366699702676,10.70366699702676,56.666666666666664,2,34.7,65.7777969665854,17.23554470659361
sub-15,ses-S3,955,86.07329842931937,2.8272251308900525,2.8272251308900525,28.333333333333332,0,38.4,63.986927366712074,17.197202518857974
sub-16,ses-S1,1519,79.32850559578671,13.69321922317314,13.69321922317314,90.0,5,53.0,63.75387813521888,18.261214527017632
sub-16,ses-S2,1955,86.13810741687979,8.439897698209718,8.439897698209718,60.0,2,42.7,62.22101239797724,17.290879412200294
sub-16,ses-S3,1946,75.53956834532374,19.013360739979444,17.56509078451525,100.0,12,46.0,59.38696777154175,17.223786891202437
